RegisterName,MSBit,LSBit,RegisterFiled,Comments,T_TX_GTM,T_RX_GTM,T_TX_A_P,T_RX_A,T_TX_A_106_P,T_RX_A_106,T_TX_A_212,T_RX_A_212,T_TX_A_424,T_RX_A_424,T_TX_A_848,T_RX_A_848,T_TX_F_P,T_RX_F,T_TX_F_212_P,T_RX_F_212,T_TX_F_424_P,T_RX_F_424,T_TX_ACT,T_RX_ACT,T_TX_A_106_ACT,T_RX_A_106_ACT,T_TX_F_212_ACT,T_RX_F_212_ACT,T_TX_F_424_ACT,T_RX_F_424_ACT,T_TX_B,T_RX_B,T_TX_B_106,T_RX_B_106,T_TX_B_212,T_RX_B_212,T_TX_B_424,T_RX_B_424,T_TX_B_848,T_RX_B_848,""
CLIF_ANA_RX_REG,"","","","","",0390A3,"","","",0390A3,"",0390A3,"",0390A3,"",0390AF,"",0390A3,"","","","","","","","","","","","","",0390A3,"","","","","","","","",""
"",31,19,RESERVED,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",18,18,RX_SINGLE,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",17,17,RX_PD_TEST_CLK,"","",1,"","","",1,"",1,"",1,"",1,"",1,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",16,16,RX_PD_MIXER,"","",1,"","","",1,"",1,"",1,"",1,"",1,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",15,15,RX_PD_ADC_Q,"","",1,"","","",1,"",1,"",1,"",1,"",1,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",14,14,RX_PD_ADC_I,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",13,13,RX_PD_BBA_BIAS,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",12,12,RX_PD_BBA_Q,"","",1,"","","",1,"",1,"",1,"",1,"",1,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",11,11,RX_PD_BBA_I,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",10,10,RX_PD_VMID,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",9,8,RX_VMID_RSEL,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",7,7,RX_SHORT_MIX2BBA_ST2,"","",1,"","","",1,"",1,"",1,"",1,"",1,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",6,6,RX_SHORT_MIX2ADC,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",5,5,RX_OC_ENABLE,"","",1,"","","",1,"",1,"",1,"",1,"",1,"","","","","","","","","","","","","",1,"","","","","","","","",""
"",4,4,RX_HP_LOWF,"","",0,"","","",0,"",0,"",0,"",0,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",3,2,RX_HPCF,"","",0,"","","",0,"",0,"",0,"",3,"",0,"","","","","","","","","","","","","",0,"","","","","","","","",""
"",1,0,RX_GAIN,"","",3,"","","",3,"",3,"",3,"",3,"",3,"","","","","","","","","","","","","",3,"","","","","","","","",""
CLIF_ANA_AGC_REG,"","","","","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",31,4,RESERVED,"","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",3,3,AGC_TEST_CLOCK_SEL,"","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",2,2,AGC_PD,"","",0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"",1,0,AGC_VREF_SEL,"","",2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
CLIF_AGC_CONFIG1_REG,"","","","","",010207FF7,"","","",010207FF7,"",010207FF7,"",010207FF7,"",010207FF7,"",0207FF6,"","","","","",0207FF6,"","","","","","","","","","","","","","","","",""
